Item Name,Discription,Quantity,Total Price,URL
Tension Springs,centering stick shift,1,$5.51,https://www.aliexpress.com/item/1005009488489265.html?spm=a2g0o.cart.0.0.748638daWiuupG&mp=1
Rotery incoder Knob,setting ajutment knobs,3,$4.32,https://www.aliexpress.com/item/1005008716778661.html?spm=a2g0o.cart.0.0.748638daWiuupG&mp=1
Oled Display,Display screen,1,$4.62,https://www.aliexpress.com/item/1005006514489341.html?spm=a2g0o.cart.0.0.748638daWiuupG&mp=1
Steering wheel,Steering wheel,1,$42.57,https://www.aliexpress.com/item/1005006066966347.html?spm=a2g0o.cart.0.0.748638daWiuupG&mp=1
HX711,Load cell amplifier,1,$1.88,https://www.aliexpress.com/item/1005006851380544.html?spm=a2g0o.cart.0.0.555038dasAW0UJ&mp=1
10Uf Capacitor,Capacitor,1,$4.46,https://www.aliexpress.com/item/1005010409167964.html?spm=a2g0o.cart.0.0.555038dasAW0UJ&mp=1
Magnets,Magnets,2,$12.48,https://www.aliexpress.com/item/1005010025118637.html?spm=a2g0o.cart.0.0.555038dasAW0UJ&mp=1
Ball Bearings ,Bearings,6,$7.03,https://www.aliexpress.com/item/10000314626783.html?spm=a2g0o.cart.0.0.555038dasAW0UJ&mp=1
49e Hall effect sensor,measures linear movement of magnets,2,$2.15,https://www.aliexpress.com/item/32852539663.html?spm=a2g0o.cart.0.0.555038da9htNFP&mp=1
Load Cell,measures weight on break pedal,1,$9.18,https://www.aliexpress.com/item/1005006039178981.html?spm=a2g0o.cart.0.0.555038da9htNFP&mp=1
100Nf Capacitors,Capacitors,2,$0.36,https://www.aliexpress.com/item/1005006579533330.html?spm=a2g0o.cart.0.0.555038da9htNFP&mp=1
Teensy 4.1,Micro Controller,1,$68.68,https://www.aliexpress.com/item/1005004478114607.html?spm=a2g0o.cart.0.0.555038da9htNFP&mp=1
Magnetic Encoder,Measures Steering wheel rotation,3,$4.14,https://www.aliexpress.com/item/1005008401280982.html?spm=a2g0o.cart.0.0.555038da9htNFP&mp=1&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
TCA9548A,Ic2 Multiplexer,1,$0.57,https://www.aliexpress.com/item/32904755017.html?spm=a2g0o.cart.0.0.555038da9htNFP&mp=1
Spring,Break reaturn Spring,1,$11.39,https://www.aliexpress.com/item/1005007247817768.html?spm=a2g0o.cart.0.0.555038da9htNFP&mp=1
Spring,Gas+Clutch return spring,2,$8.49,https://www.aliexpress.com/item/1005009816348235.html?spm=a2g0o.cart.0.0.555038da9htNFP&mp=1
,,,,
Total Parts cost,,,$187.83,
Total Parts cost after shipping+Tax,,,$236.00,
Note all prices are in Cad,,,,